State,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05
Ebonyi,992.0,1141.6666666666667,1158.33333333333,1265.69833333333,1392.26814778646,1415.3307698567708,1320.0,1325.8333333333333,1279.724589029948,1301.875,1304.0625,1308.3333333333333,1288.8333333333333,1332.01416015625,1293.3735715,1293.8752581666668,1445.33661525,1564.70033828571,1533.73350820571,1652.61922249143,1748.05074285714,1524.29142857143,1265.932857142857,1398.01329,1398.01329,1383.8404535500001,1344.406683,1479.11651581965,2262.2870170189058,2754.0622645420963,3574.754611957276
Edo,1150.0,1187.5,1210.0,1383.33333333333,1566.66666666667,1443.75,1347.142857142857,1537.5,1266.6666666666667,1290.625,1368.75,1281.25,1331.4285714285713,1400.0,1372.2222222222222,1249.44444444444,1397.83938888889,1909.8577333333333,1962.646352,2062.646352,2011.5967593333335,1777.0,1330.625,1307.835,1327.371,1311.960435,1414.11220295,1429.38140351667,1748.845707339061,2640.1026324589848,3314.347832407356
Ekiti,1057.6923076923076,992.6666666666666,1204.07534246575,1175.0,1281.66666666667,1367.5,1300.0,1306.6666666666667,1277.5,1273.5714285714287,1241.4615384615386,1278.6470588235295,1285.6315789473683,1257.857142857143,1288.5714285714287,1271.4285714285713,1325.78571428571,1517.884375,1551.310125,1651.310125,1602.68,1434.01833333333,1145.3966666666668,1412.8376916666666,1421.6950948333333,1405.9028250000001,1311.5833333333333,1364.57502558091,1491.1899312132227,2352.7390079166958,3208.231181742028
Enugu,971.521739130435,1209.375,1194.44444444444,1287.72961281225,1382.10475376674,1518.4086143092106,1538.1818181818182,1474.8958333333333,1411.612811279297,1363.5472412109375,1341.0294117647059,1341.4375,1356.4615384615386,1422.5744493272568,1500.0,1500.0,1624.15,1778.7416666666668,1921.0410000000002,1921.0410000000002,1858.3743333333334,1612.5,1299.9,1468.2900000000002,1468.2900000000002,1465.6862250000001,1251.687075,1369.17224021486,1480.0584329523351,2342.408680421654,3157.4369456857785
Gombe,1100.0,1200.0,1200.0,1500.0,1375.0,1363.3333333333333,1443.75,1595.0,1382.3833414713542,1615.0,1615.0,1566.550048828125,1519.5535888671875,1479.17080078125,1400.0,1350.0,1441.735,1375.0,1385.0,1485.0,1485.0,1270.83333333333,1332.134,1382.198,1395.92064,1394.08769,1403.3044384452,1483.51783503349,1856.256425359193,2494.6902669002884,3192.0807225399985
Imo,950.0,1136.76470588235,1179.7619047619,1297.26529696673,1403.97568088108,1534.7945197610295,1545.1647658575148,1450.9694260817307,1398.3247539813701,1364.3943336123511,1375.6893696032073,1345.1136363636363,1323.4449890136718,1307.375,1360.0,1360.0,1453.896,1665.847142857143,1616.06134285714,1716.06134285714,1816.0613428571428,1655.96638655462,1242.8823529411764,1394.3966387142857,1406.1113815714284,1409.2204385807145,1319.327731152143,1423.67279252184,1557.0631277064235,2385.4542293831846,3171.9609343762672
Jigawa,1133.07692307692,1229.090909090909,1193.63636363636,1316.66666666667,1533.33333333333,1418.1818181818182,1283.3333333333333,1281.8181818181818,1312.0,1283.3333333333333,1335.8333333333333,1293.388888888889,1336.1538461538462,1433.3333333333333,1250.0,1250.0,1330.08333333333,1644.33258333333,1655.22995875,1655.22995875,1758.2,1496.00833333333,1177.856375,1437.4020833333332,1477.3075333333334,1436.8039415000003,1353.36941375,1432.22783746278,1600.1151508915984,2472.0440903203885,3442.977337824841
Kaduna,1183.4545454545455,1221.4285714285713,1100.0,1230.0,1461.81818181818,1320.8333333333333,1327.5,1521.4285714285713,1533.3333333333333,1930.78571428571,1511.5,1244.5,1330.5555555555557,1311.5384615384614,1320.0,1500.0,1724.15,1867.6980000000003,1979.736,2023.736,1994.518,1804.93333333333,1294.6866666666667,1418.5533333333333,1445.66653333333,1449.6965,1266.66666666667,1280.0,1678.9333333333334,2552.2007999999996,3535.842620729816
Kano,1066.0,1200.0,940.888888888889,1111.42857142857,1265.71428571429,1258.5714285714287,1153.3333333333333,1243.3333333333333,1211.111111111111,1358.5714285714287,1364.4444444444443,1404.2857142857142,1486.6666666666667,1405.55555555556,1670.0,1720.0,1800.692,2003.29784615385,2028.69350769231,2151.7704307692306,2027.9242769230768,1789.59,1279.4305,1422.0487692307688,1442.8452061538458,1408.0264537692308,1281.920358544149,1399.62017724046,1610.856269995381,2483.810980534766,3302.9629353308774
Katsina,1100.0,1165.625,1066.66666666667,1125.0,1336.36363636364,1305.5555555555557,1293.75,1422.2222222222222,1358.25968013468,1300.0,1350.0,1300.0,1433.3333333333333,1350.0,1463.3333333333333,1433.3333333333333,1643.07666666667,1780.9,1902.5737500000002,1902.5737500000002,1848.5487500000004,1650.83851851852,1184.5806666666667,1301.2388733333335,1315.7789323999998,1297.2366590899999,1310.6561766666666,1309.99075077951,1438.2461861263453,2269.141196767494,3131.7088520724938
