State,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05
Delta,670.0,640.0,665.625,687.0,696.875,688.75,748.0,785.7142857142857,680.0,667.5,1007.27272727273,1050.0,1170.357142857143,1282.71428571429,1364.2857142857142,1131.4285714285713,1175.93028571429,1161.4136,1067.3394,1067.3394,1047.1994,951.3698347107437,927.7164793388428,1025.9914136363636,1035.4186863636367,1028.6097116136364,1012.4313442728118,1023.8071483574723,1279.60185921462,1588.863076483639,1667.6812104287928
Ebonyi,667.1428571428571,671.4285714285714,638.714285714286,670.0,710.714285714286,702.5,770.0,795.5,780.7714320591518,863.3142961774554,1090.9375,1292.857142857143,1287.5714285714287,1280.4135916573662,1133.33333333333,1140.0,1186.354,1118.79817142857,1060.1787673714284,1043.9625445142858,1043.9625445142858,1059.9457142857143,1055.0912857142857,1036.9892857142856,1062.076142857143,1044.030105,1065.8506714285716,1095.6565671715173,1287.9259111483,1537.483366520864,1633.3754884752568
Edo,650.0,661.875,662.0,672.5,685.0,691.25,768.3333333333334,773.75,669.75,676.25,1062.5,1227.5,1187.607142857143,1142.4,1146,1280.0,1256.608,1283.23633333333,1020.0,1020.0,1020.0,920.8175,920.909125,1030.046625,1041.233135,1029.7772123,1029.45,1055.34,1315.0849964611,1595.7415806887257,1722.9119902507102
Ekiti,641.25,653.4375,651.331269349845,655.0,661.5625,661.6666666666666,798.0,747.2222222222222,774.375,830.8333333333334,1039.33333333333,1116.4705882352941,1182.3809523809523,1120.0,1180,956.6666666666666,963.40233333333,1226.29711,1001.1949177999999,1001.1949177999999,1001.1949177999999,924.2514285714286,901.2274285714286,1058.4937457142858,1056.3186522857143,1048.4319404414284,946.9009096787142,1015.7126408420496,1246.15844925373,1547.7196704872742,1598.5576457010786
Enugu,651.5217391304348,673.125,673.872180451128,688.21,713.125,705.75,765.0,797.7894736842105,780.2809059836648,871.8877270507812,990.08749389648,1192.2007598876953,1245.5555555555557,1278.4666544596355,1433.3333333333333,1500.0,1500.0,1533.40833333333,1054.5901666666666,1054.5901666666666,1054.5901666666666,1011.9,1000.0316666666668,1030.9216666666666,1037.6753,1017.2834175000002,946.9161666666665,1008.79651891057,1308.21524424624,1430.18348494285,1570.23030170685
Gombe,625.125,703.0,703.0,710.0,719.333333333333,717.0,766.5375061035156,727.1428571428571,809.15,925.0,990.0,1232.8,1232.8,1176.125,1090,1093.3333333333333,1155.40833333333,1060.926125,990.0,990.0,990.0,980.9622222222222,959.1184444444445,1055.7235055555554,1067.5148097777778,1075.7343529900002,1016.8226789622222,1106.04498805365,1334.83198596773,1586.6216002687124,1686.3692200360244
Imo,633.1764705882352,683.6842105263158,687.0,705.512545454546,725.555555555556,712.7777777777778,759.0909090909091,796.1538461538462,793.4076913686899,891.9272682883523,1002.69090964577,1237.4782608695652,1224.0760869565217,1198.8891015625,1466.6666666666667,1500.0,1524.15,1588.49857142857,987.8571428571429,987.8571428571429,987.8571428571429,1021.516806722689,987.2981092436975,1087.1266807142858,1087.1266807142858,1086.2553498321427,1085.8726891178571,1016.586025415284,1291.09849254421,1573.0829727073267,1592.3352451161
Jigawa,677.6666666666666,682.0,679.666666666667,696.428571428571,708.333333333333,711.5384615384615,937.5,847.0,903.07692307692,902.6666666666666,1063.33333333333,1288.1818181818182,1308.5714285714287,1258.46153846154,1530,1730.0,1700.0,1567.842585,1079.0163613,1107.5163613,1107.5163613,979.6581818181818,956.6898181818183,1059.0913636363637,1070.5763454545454,1059.721914090909,983.4598328561914,1068.9572309156815,1270.0622189492,1572.528765087565,1650.9879998480176
Kaduna,620.2941176470588,673.6666666666666,640.0,678.416666666667,683.928571428571,699.6428571428571,815.9375,709.5833333333334,763.0,887.0555555555555,1074.61538461538,1163.7,1193.75,1161.2,1638.3333333333333,1660.0,1650.0,1395.04436,1020.8271128,1064.7871128,1045.2271128,943.3333333333334,942.4333333333334,1023.3333333333334,1050.9633333333334,1052.2651166666667,947.0,1000.0666666666666,1193.398,1534.1076773333334,1573.46186378622
Kano,668.6363636363636,602.7777777777778,678.266666666667,675.0,685.714285714286,700.0,792.8571428571429,715.4545454545455,755.3571428571429,881.4285714285714,1051.2,1170.8333333333333,1152.857142857143,1152.142857142857,1541.6666666666667,1587.5,1530.55875,1283.69501923077,988.16172,1015.1232584615384,1005.5078738461538,959.5173333333332,939.5583666666666,1060.5646666666667,1061.32952,1063.0420490666668,1014.3976810673672,1032.4446482783387,1280.13998702694,1579.2999070853998,1607.26868370446
Katsina,667.1428571428571,665.0,680.4,680.0,694.166666666667,697.7272727272727,782.222222222222,742.5,950.0,781.25,1096.1538461538462,1100.0,1121.25,1187.5,1469.4444445,1436.1111111666667,1474.42138895645,1111.9375,992.22125,1003.48375,1042.1712499999999,988.265,982.5409166666667,1053.6455166666667,1060.1121833333334,1051.3579994166666,1035.8349583333334,1009.56085349024,1356.405002672,1406.27520612381,1470.63150640735
Kebbi,691.0,715.625,796.666666666667,746.666666666667,727.2,722.8571428571429,880.0,742.3076923076923,822.1428571428571,808.6666666666666,986.6666666666666,1189.25,1186.25,1194.0,1090,1090.0,1125.549,1148.9099475,1021.790906425,1052.139656425,1065.8896564249999,946.958,942.756,1031.64,1043.758,1003.0774100000001,1042.89954138021,1047.7039807835356,1337.2598090125,1501.02504091734,1554.94204024772
Kogi,649.1666666666666,660.9090909090909,626.787037037037,675.5,690.59375,797.7777777777778,697.6646412037037,789.4736842105264,751.4294146369485,842.8055555555555,1063.090788188733,1193.1373948317307,1249.9791666666667,1188.1818181818182,1114.2857142857142,1221.4285714285713,1298.93928571429,1258.0,986.6666666666666,986.6666666666666,986.6666666666666,1014.69,963.9555,1110.0,1110.0,1104.45,960.0,1002.0,1217.24,1474.3134349492225,1534.32273771729
Kwara,642.5,650.625,614.90085978836,650.0,665.681818181818,650.0,645.1456694925445,650.0,650.0,747.5,1045.4375,1162.4615384615386,1173.0615234375,1133.076923076923,1171.9968549999999,1070.0,1106.143,1014.85075075,1038.0637257350002,1031.216675835,1031.216675835,933.5899999999999,923.6463,1051.1299999999999,1062.675,1028.520375,1109.1572490111942,1064.6276672387444,1224.27738268556,1535.7830738345879,1555.67216793394
Lagos,623.1176470588235,612.7222222222222,663.049535603715,654.230769230769,630.75,602.55,636.8,626.9411764705883,693.8235294117648,765.2941176470588,1000.4761904761905,1080.952380952381,1092.7894736842106,1106.3333333333333,1122.2222222222222,975.5555555555555,975.0,1064.5762,1077.050976,1100.289476,1100.289476,983.05,958.3815000000001,1014.0,1021.144,1030.7697199999998,1026.10526907287,966.6096519306284,1162.70596565252,1486.167923263803,1561.2165960582454
Nasarawa,650.0,661.4285714285714,629.319444444444,655.0,700.321428571429,778.8888888888889,659.4444444444445,773.0769230769231,781.9621451241629,876.0769230769231,1016.1875,1063.6842105263158,1181.8863636363637,1157.142857142857,1302.257815,1285.5413192,1238.21246722192,1293.8995671,992.0,992.0,992.0,965.9201376936307,984.948,1009.3770000000001,1015.12062,1011.0494231,1149.1342781461683,1042.6815218774004,1213.79573163491,1546.886630259521,1576.120026251013
Niger,639.2,659.375,624.038425925926,653.7,657.153846153846,633.75,642.1605680199431,704.4666666666667,745.5199991861979,792.4285714285714,993.8857160295756,1088.0721153846155,1173.1839036207932,1176.0714285714287,1386.686215,1386.686215,1309.0,1309.5400190375,991.075,1067.4075,1055.125,1037.8104166666712,1006.8557291666706,1061.127816625,1062.5540666250001,1061.2113359593752,983.50650475,1072.6494935481323,1328.42244612704,1403.89101575611,1538.33072338621
Ogun,631.3333333333334,776.53846153846,653.105263157895,650.833333333333,651.25,647.1428571428571,730.0,670.625,742.2222222222222,865.8823529411765,1016.9230769230769,1161.111111111111,1154.7368421052631,1106.0666666666666,1141.6666666666667,1105.0,1143.7905,1166.2385,1013.125,1012.5,1000.0,930.0880000000001,946.7,1064.9875,1064.9875,1026.3190625,995.6577064402363,1029.6665876407706,1169.78183931909,1529.6666272285697,1598.322943232422
Ondo,650.5882352941177,644.0625,653.018575851393,666.25,663.846153846154,671.25,882.6666666666666,747.8571428571429,776.9230769230769,846.6666666666666,1006.66666666667,1172.857142857143,1155.5555555555557,1137.7777777777778,1141.7,1005.5571428999999,1099.6581629,1148.42271333333,1083.4709257333334,1104.8042590666666,1007.0061110666667,921.407142857143,962.6828571428571,1017.8285714285713,1025.0414285714285,1028.5236142857143,1036.6688796505362,1071.564452689861,1287.82521966034,1573.5564855031187,1598.6974652051867
Osun,644.1666666666666,641.5384615384615,658.771929824561,664.545454545455,672.142857142857,691.0,790.3571428571429,689.2307692307693,842.1428571428571,856.1538461538462,1009.375,1176.3157894736842,1171.875,1137.0588235294117,950,972.5,980.0,1042.49266666667,1060.5752577777776,1060.5752577777776,1039.92869,926.5486111111112,933.175,1039.76979375,1051.81920825,1046.48631220875,1037.3764624716425,1086.361315942425,1256.95702153948,1521.851816441092,1537.00338551256
Oyo,628.3571428571429,626.5625,662.532894736842,652.352941176471,645.882352941176,660.3333333333334,742.5,696.6666666666666,808.8461538461538,865.625,1076.111111111111,1188.75,1166.3157894736842,1088.75,1015,956.6666666666666,982.0,1183.7945,1038.005678627451,1038.005678627451,1038.005678627451,953.1356179775281,912.2288370786516,1001.7860000000001,997.3865600000001,996.5464032,1013.1016032,973.448729627903,1271.3053739558,1555.3248094179623,1639.966445815278
Plateau,644.5,649.25,670.0,686.166666666667,662.268753051758,685.2857142857143,675.9302835010348,719.7272727272727,782.4166666666666,876.1538461538462,1073.1818181818182,1171.25,1227.5,1260.0,1446.992215,1446.992215,1450.79818627383,1302.52382749048,991.0518312794999,1009.0518312795,1019.0518312794999,1076.06,1013.999,1056.132,1056.132,1046.7132699999997,1077.16,1051.727557265312,1252.44817328204,1580.7890147114554,1623.7613630981045
Rivers,663.8888888888889,676.6666666666666,674.545454545455,680.0,710.909090909091,696.0,782.7272727272727,810.0,684.5454545454545,685.4545454545455,1045.0,1154.27272727273,1257.7777777777778,1164.90625,1308.888888888889,1131.111111111111,1175.54422222222,1263.98222222222,981.6666666666666,994.3222222222222,994.3222222222222,975.3,980.3549999999999,1053.7181249999999,1065.428125,1062.2512218749998,1160.91714,1030.7429628275222,1247.83755323914,1579.4059102674719,1580.759307238282
Sokoto,641.4285714285714,678.5714285714286,664.8,681.428571428571,715.0,713.3333333333334,872.5,723.3333333333334,750.0,855.7142857142857,961.6666666666666,1110.0,1162.857142857143,1113.3333333333333,1330,1680.0,1550.0,1550.0,1100.0,1100.0,1100.0,1032.684,1023.39,1105.93315,1118.82765,1035.4703965,1019.311709859084,1116.8115997626,1377.55424149742,1404.15931560314,1489.32779585709
Taraba,618.0,760.0,704.111111111111,710.56,761.918634588068,751.8888888888889,818.3749938964844,751.8888888888889,826.5454545454545,899.6714274088541,1027.44444444444,1243.901805530895,1256.3613558682528,1307.049871826172,1433.3333333333333,1366.6666666666667,1353.95333333333,1256.386,983.0,1006.6,1036.6,953.4,934.0200000000001,1072.152,1079.1799999999998,1080.06466,1048.410751,1055.4908480870617,1305.7440770852,1581.307207201498,1647.9425367874926
Yobe,639.2727272727273,692.1818181818181,675.545454545455,688.2,749.088628595526,735.0,784.625,735.0,800.8815789473684,916.0,939.375,1180.0961538461538,1222.7272727272727,1225.0,1112.5,1075.0,1114.114375,970.0,950.6,950.6,950.6,1014.86,988.93675,1075.5883333333334,1085.3703,1081.7998045000002,1050.7736628333334,1134.7317862777957,1362.05176682632,1599.0537504089436,1665.90743929548
Zamfara,648.0,688.4615384615385,771.428571428571,750.43,704.090909090909,754.2857142857143,835.8333333333334,760.3846153846154,797.1428571428571,887.6923076923077,1022.0,1164.2857142857142,1192.3076923076924,1160.0,1104.28571428571,1204.28571428571,1200.63185714286,1223.88591,1093.2114462,1096.81125,884.6257875,993.3816666666667,967.4859166666666,1054.6785695833332,1067.0019029166665,1059.10669060625,1046.5676961057413,1038.0130892545455,1301.30548768965,1564.2501737932378,1602.11606816957
